PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2007,40,556,388,X,205,X,36,1185,109122,117,1.08594,0.857485
2007,41,560,423,X,197,X,20,1200,103535,125,1.15903,0.951445
2007,42,649,503,X,237,X,44,1433,107869,126,1.32846,1.03865
2007,43,689,538,X,228,X,42,1497,110124,132,1.35938,1.06445
2007,44,804,562,X,256,X,37,1659,109141,132,1.52005,1.11527
2007,45,982,565,X,294,X,34,1875,110024,132,1.70417,1.30014
2007,46,952,551,X,284,X,46,1833,106614,131,1.71929,1.30133
2007,47,946,440,X,298,X,51,1735,89930,126,1.92928,1.39124
2007,48,1090,597,X,302,X,37,2026,107209,130,1.88977,1.49339
2007,49,1039,568,X,288,X,37,1932,101772,131,1.89836,1.51687
2007,50,1108,597,X,332,X,40,2077,101978,130,2.03671,1.58744
2007,51,1050,600,X,345,X,63,2058,98876,125,2.08139,1.60298
2007,52,1102,518,X,438,X,64,2122,86514,129,2.45278,1.86647
2008,1,956,538,X,549,X,73,2116,91767,132,2.30584,1.75069
2008,2,780,731,X,585,X,65,2161,104992,127,2.05825,1.76808
2008,3,818,807,X,562,X,66,2253,102662,131,2.19458,1.79325
2008,4,977,1075,X,709,X,85,2846,104182,133,2.73176,2.2941
2008,5,1056,1530,X,935,X,90,3611,105818,124,3.41246,3.00346
2008,6,1193,2036,X,1146,X,105,4480,113021,128,3.96387,3.87387
2008,7,1123,1970,X,1242,X,132,4467,107841,125,4.14221,4.03668
2008,8,1099,1650,X,1341,X,192,4282,105260,129,4.06802,4.00038
2008,9,954,1285,X,1318,X,184,3741,109558,124,3.41463,3.37636
2008,10,828,1383,X,1063,X,144,3418,109166,126,3.13101,2.80578
2008,11,895,1269,X,932,X,120,3216,106232,122,3.02734,2.95853
2008,12,724,970,X,767,X,104,2565,97347,118,2.6349,2.70944
2008,13,659,725,X,664,X,126,2174,103590,117,2.09866,2.14311
2008,14,588,610,X,589,X,99,1886,100584,114,1.87505,1.85646
2008,15,526,559,X,459,X,70,1614,102239,104,1.57865,1.58391
2008,16,463,448,X,366,X,57,1334,97119,96,1.37357,1.0248
2008,17,421,338,X,294,X,45,1098,95897,93,1.14498,0.899389
2008,18,376,299,X,246,X,40,961,94551,86,1.01638,0.773522
2008,19,383,341,X,272,X,40,1036,99395,77,1.04231,0.745833
2008,20,410,344,X,217,X,31,1002,92266,75,1.08599,0.818279
2008,21,455,316,X,212,X,47,1030,89382,67,1.15236,0.795732
2008,22,534,338,X,214,X,32,1118,86655,61,1.29017,0.793891
2008,23,460,320,X,197,X,38,1015,89072,56,1.13953,1.00769
2008,24,427,292,X,177,X,29,925,89017,50,1.03913,0.610264
2008,25,447,288,X,178,X,33,946,88818,51,1.0651,0.645061
2008,26,403,266,X,151,X,31,851,86241,48,0.98677,0.652268
2008,27,388,253,X,135,X,24,800,81607,48,0.980308,0.573983
2008,28,341,229,X,154,X,28,752,87511,46,0.859321,0.515418
2008,29,345,221,X,135,X,27,728,85880,47,0.847694,0.558079
2008,30,292,202,X,112,X,22,628,84801,46,0.740557,0.508837
2008,31,276,219,X,118,X,22,635,84837,45,0.748494,0.512092
2008,32,270,237,X,134,X,22,663,82179,47,0.806775,0.549674
2008,33,239,192,X,153,X,20,604,81723,45,0.739082,0.483814
2008,34,249,159,X,152,X,19,579,84129,46,0.688229,0.441212
2008,35,273,183,X,156,X,25,637,79742,46,0.798826,0.497742
2008,36,253,204,X,178,X,29,664,80255,42,0.827363,0.468627
2008,37,261,214,X,132,X,33,640,84205,46,0.76005,0.51737
2008,38,377,312,X,216,X,36,941,87967,46,1.06972,0.651524
2008,39,392,302,X,248,X,39,981,85530,48,1.14697,0.717888
