PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2004,40,109,187,X,114,X,34,444,32952,116,1.34741,1.71271
2004,41,117,171,X,103,X,31,422,33301,121,1.26723,1.34007
2004,42,129,170,X,112,X,40,451,37913,124,1.18957,1.25523
2004,43,136,226,X,128,X,37,527,36986,126,1.42486,1.69261
2004,44,140,223,X,152,X,39,554,38649,128,1.43341,1.62552
2004,45,165,250,X,112,X,39,566,40054,135,1.41309,1.67422
2004,46,233,249,X,145,X,56,683,38858,139,1.75768,1.86103
2004,47,175,246,X,123,X,34,578,32130,142,1.79894,2.12614
2004,48,180,266,X,140,X,55,641,39561,143,1.62028,1.79794
2004,49,239,298,X,167,X,62,766,36124,135,2.12047,2.50511
2004,50,176,351,X,209,X,54,790,32381,135,2.4397,2.70348
2004,51,248,370,X,241,X,75,934,24411,131,3.82614,4.00853
2004,52,364,367,X,291,X,82,1104,30152,135,3.66145,3.68932
2005,1,342,374,X,376,X,121,1213,36961,136,3.28184,3.52579
2005,2,335,435,X,286,X,75,1131,34832,136,3.24701,3.51864
2005,3,255,432,X,250,X,77,1014,32767,129,3.09458,3.19978
2005,4,268,541,X,281,X,70,1160,34394,125,3.37268,3.69251
2005,5,247,694,X,297,X,75,1313,35805,116,3.66709,3.94745
2005,6,340,742,X,336,X,96,1514,37522,121,4.03497,4.28302
2005,7,336,730,X,353,X,102,1521,38525,121,3.94809,4.03953
2005,8,305,515,X,316,X,89,1225,32471,112,3.7726,3.98453
2005,9,244,422,X,241,X,90,997,32220,103,3.09435,3.86756
2005,10,250,400,X,261,X,69,980,32753,100,2.99209,3.44629
2005,11,240,379,X,198,X,47,864,33496,98,2.57941,2.70098
2005,12,199,313,X,186,X,51,749,29323,89,2.55431,2.86215
2005,13,150,253,X,124,X,42,569,30494,91,1.86594,2.18735
2005,14,106,199,X,67,X,34,406,30577,80,1.3278,1.56253
2005,15,100,181,X,49,X,25,355,29931,76,1.18606,1.58003
2005,16,76,185,X,43,X,27,331,29830,79,1.10962,1.38075
2005,17,74,166,X,34,X,16,290,28680,76,1.01116,1.3913
2005,18,70,138,X,45,X,11,264,27436,73,0.962239,1.22919
2005,19,80,146,X,27,X,17,270,26106,67,1.03425,1.32601
2005,20,44,77,X,46,X,14,181,20965,58,0.863344,1.01921
2005,21,26,30,X,16,X,2,74,14759,46,0.501389,0.468789
2005,22,40,36,X,12,X,1,89,12733,38,0.698971,0.786662
2005,23,48,49,X,8,X,1,106,13425,37,0.789572,0.931911
2005,24,29,34,X,12,X,2,77,13674,37,0.563112,0.646454
2005,25,31,29,X,14,X,1,75,13064,36,0.574097,0.657638
2005,26,34,23,X,11,X,1,69,12933,30,0.533519,0.601209
2005,27,13,14,X,3,X,2,32,12082,27,0.264857,0.313676
2005,28,27,28,X,9,X,1,65,14251,31,0.456108,0.613076
2005,29,27,29,X,9,X,0,65,14378,28,0.45208,0.662948
2005,30,23,23,X,4,X,0,50,12419,26,0.402609,0.513327
2005,31,20,35,X,5,X,1,61,12901,25,0.472832,0.562302
2005,32,21,29,X,3,X,1,54,13015,25,0.414906,0.667741
2005,33,15,26,X,3,X,0,44,13353,26,0.329514,0.411874
2005,34,3,5,X,4,X,1,13,13301,24,0.097737,0.12111
2005,35,22,19,X,6,X,0,47,13970,25,0.336435,0.447683
2005,36,25,36,X,8,X,1,70,12448,29,0.562339,0.714095
2005,37,17,39,X,6,X,2,64,14679,29,0.435997,0.587878
2005,38,25,66,X,11,X,0,102,15502,31,0.65798,0.850721
2005,39,33,52,X,13,X,3,101,15043,31,0.671409,0.818245
