PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2008,40,429,346,X,256,X,59,1090,99065,95,1.10029,0.795086
2008,41,461,423,X,302,X,63,1249,102183,110,1.22232,1.00041
2008,42,470,385,X,289,X,61,1205,103803,112,1.16085,0.827077
2008,43,480,442,X,261,X,57,1240,104539,117,1.18616,0.925488
2008,44,505,456,X,279,X,43,1283,101394,121,1.26536,1.10307
2008,45,666,583,X,285,X,55,1589,110935,132,1.43237,1.52706
2008,46,713,559,X,274,X,63,1609,109368,133,1.47118,1.39193
2008,47,763,500,X,266,X,45,1574,105984,133,1.48513,1.26473
2008,48,876,540,X,251,X,67,1734,95096,134,1.82342,1.39703
2008,49,1016,659,X,310,X,67,2052,110513,133,1.8568,1.55122
2008,50,1030,608,X,319,X,46,2003,108373,137,1.84825,1.5026
2008,51,1116,695,X,346,X,62,2219,103867,133,2.13639,1.53979
2008,52,1136,619,X,325,X,59,2139,91522,132,2.33714,1.67421
2008,53,1229,511,X,487,X,65,2292,96659,129,2.37122,1.82716
2009,1,962,559,X,539,X,87,2147,106810,132,2.01011,1.49301
2009,2,824,743,X,500,X,64,2131,103833,128,2.05233,1.53972
2009,3,891,1031,X,553,X,63,2538,110256,139,2.30192,1.90993
2009,4,953,1275,X,630,X,51,2909,107717,135,2.7006,2.40768
2009,5,891,1558,X,672,X,62,3183,114857,138,2.77127,2.64771
2009,6,993,2068,X,761,X,90,3912,114745,139,3.4093,4.07163
2009,7,1117,1966,X,750,X,84,3917,111467,138,3.51404,4.28562
2009,8,896,1870,X,645,X,90,3501,111597,131,3.13718,4.53573
2009,9,765,1677,X,533,X,60,3035,106262,134,2.85615,4.00354
2009,10,779,1425,X,484,X,65,2753,107343,133,2.56468,3.43688
2009,11,769,1495,X,509,X,70,2843,109903,129,2.58683,3.39965
2009,12,825,1322,X,420,X,62,2629,110821,128,2.37229,2.88852
2009,13,648,1156,X,381,X,47,2232,107403,124,2.07815,2.57819
2009,14,630,938,X,358,X,65,1991,101449,112,1.96256,2.41928
2009,15,556,706,X,335,X,55,1652,101105,120,1.63394,2.02585
2009,16,504,551,X,325,X,52,1432,104766,122,1.36686,1.36112
2009,17,1163,2218,X,1537,X,131,5049,122566,117,4.11941,2.49089
2009,18,871,1557,X,921,X,85,3434,111809,113,3.07131,2.063
2009,19,1069,2783,X,883,X,98,4833,114219,113,4.23135,2.40286
2009,20,2256,9174,X,2369,X,141,13940,126539,102,11.0164,4.23674
2009,21,2711,9938,X,3258,X,159,16066,126721,99,12.6782,4.89993
2009,22,2258,6109,X,2619,X,156,11142,114881,98,9.69873,3.9089
2009,23,1600,3190,X,1713,X,126,6629,106082,98,6.24894,3.91712
2009,24,1067,2040,X,1240,X,87,4434,102939,102,4.30741,4.33467
2009,25,769,1271,X,813,X,83,2936,99896,102,2.93906,3.40379
2009,26,659,693,X,581,X,79,2012,101673,100,1.97889,2.25599
2009,27,470,549,X,425,X,61,1505,100572,97,1.49644,1.69186
2009,28,395,428,X,288,X,48,1159,98726,95,1.17396,1.4232
2009,29,364,374,X,313,X,30,1081,100257,99,1.07823,1.12865
2009,30,331,365,X,260,X,51,1007,98963,95,1.01755,1.1494
2009,31,349,338,X,274,X,45,1006,100325,101,1.00274,1.02829
2009,32,359,338,X,289,X,53,1039,101952,102,1.01911,0.991503
2009,33,387,376,X,262,X,59,1084,104746,102,1.03488,0.977205
2009,34,447,502,X,312,X,45,1306,108760,115,1.20081,1.1835
