PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2002,40,74,95,X,83,X,29,281,21621,72,1.29966,1.40234
2002,41,121,130,X,107,X,33,391,25452,84,1.53623,1.60004
2002,42,142,113,X,63,X,24,342,24302,87,1.40729,1.5017
2002,43,152,134,X,89,X,32,407,25495,83,1.59639,1.82429
2002,44,153,138,X,83,X,17,391,27179,93,1.43861,1.4931
2002,45,164,145,X,98,X,38,445,27794,93,1.60106,2.14663
2002,46,154,156,X,112,X,27,449,28658,97,1.56675,1.88794
2002,47,140,147,X,95,X,33,415,28213,96,1.47095,1.75605
2002,48,168,110,X,96,X,33,407,22409,94,1.81623,2.09595
2002,49,168,155,X,128,X,41,492,28371,101,1.73417,1.87033
2002,50,133,125,X,117,X,35,410,25814,91,1.58829,1.65563
2002,51,143,166,X,116,X,48,473,26142,93,1.80935,2.02162
2002,52,116,93,X,131,X,48,388,20553,94,1.8878,1.67635
2003,1,105,95,X,99,X,31,330,19871,91,1.66071,2.01709
2003,2,123,117,X,101,X,33,374,24970,88,1.4978,1.50887
2003,3,167,198,X,109,X,42,516,25483,90,2.02488,2.36534
2003,4,148,216,X,115,X,22,501,25060,88,1.9992,1.95682
2003,5,119,275,X,93,X,21,508,24510,85,2.07262,2.58898
2003,6,107,436,X,106,X,15,664,22708,83,2.92408,3.16037
2003,7,131,385,X,157,X,41,714,24174,80,2.95359,3.48652
2003,8,140,304,X,127,X,36,607,20679,78,2.93535,3.33356
2003,9,113,192,X,113,X,32,450,22831,74,1.971,2.16825
2003,10,65,88,X,60,X,30,243,20624,70,1.17824,0.953409
2003,11,47,138,X,70,X,56,311,18949,69,1.64125,1.74831
2003,12,64,126,X,67,X,19,276,17907,66,1.5413,1.59365
2003,13,61,88,X,64,X,20,233,17215,60,1.35347,1.36831
2003,14,52,105,X,50,X,13,220,16545,54,1.32971,1.35014
2003,15,49,93,X,52,X,16,210,15530,51,1.35222,1.38197
2003,16,40,38,X,32,X,15,125,13603,48,0.918915,0.923107
2003,17,40,35,X,31,X,20,126,13424,48,0.938617,0.875735
2003,18,33,33,X,21,X,13,100,14450,47,0.692042,0.617055
2003,19,29,31,X,31,X,15,106,13465,43,0.787226,0.863376
2003,20,45,59,X,19,X,15,138,12567,43,1.09811,1.64805
2003,21,35,41,X,2,X,0,78,12844,32,0.607287,1.0982
2003,22,46,47,X,15,X,4,112,9940,29,1.12676,1.89247
2003,23,21,39,X,7,X,4,71,7952,25,0.892857,1.01005
2003,24,30,33,X,5,X,8,76,8006,25,0.949288,1.0505
2003,25,24,24,X,3,X,5,56,7295,23,0.767649,0.825375
2003,26,12,17,X,6,X,5,40,7397,26,0.54076,0.508273
2003,27,15,18,X,5,X,2,40,8913,25,0.448783,0.487201
2003,28,23,22,X,11,X,8,64,9410,23,0.680128,0.829913
2003,29,14,15,X,4,X,7,40,8674,22,0.461148,0.478674
2003,30,17,31,X,5,X,4,57,9830,27,0.579858,0.566496
2003,31,16,22,X,5,X,4,47,9501,25,0.494685,0.457597
2003,32,18,18,X,6,X,1,43,9040,24,0.475664,0.414855
2003,33,21,22,X,8,X,3,54,9194,23,0.58734,0.547245
2003,34,30,33,X,4,X,3,70,9316,22,0.751395,0.7408
2003,35,23,28,X,4,X,3,58,9859,21,0.588295,0.576629
2003,36,17,35,X,6,X,4,62,9526,23,0.65085,0.670344
2003,37,21,44,X,6,X,0,71,10341,24,0.686587,0.71928
2003,38,19,50,X,9,X,2,80,10623,24,0.753083,0.791344
2003,39,21,56,X,7,X,8,92,9770,27,0.941658,0.674215
